time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:21:28.996Z,1.26,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:29.007Z,1.271,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:29.027Z,1.291,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:29.027Z,1.291,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:29.038Z,1.302,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:29.058Z,1.322,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:29.058Z,1.322,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:29.069Z,1.333,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:29.090Z,1.354,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:29.105Z,1.369,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:29.115Z,1.379,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:29.118Z,1.382,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:29.132Z,1.396,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:29.141Z,1.405,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:29.143Z,1.407,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:29.156Z,1.42,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:29.163Z,1.427,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:29.179Z,1.443,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:29.191Z,1.455,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:29.196Z,1.46,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:29.213Z,1.477,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:29.224Z,1.488,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:29.228Z,1.492,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:29.243Z,1.507,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:29.251Z,1.515,0,0,0,2,0,0,0.0,0.0
