time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:03:49.076Z,1.399,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.097Z,1.42,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.097Z,1.42,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.108Z,1.431,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.128Z,1.451,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.128Z,1.451,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.139Z,1.462,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.144Z,1.467,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.159Z,1.482,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.169Z,1.492,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.189Z,1.512,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.189Z,1.512,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.200Z,1.523,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.220Z,1.543,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.220Z,1.543,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.231Z,1.554,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.252Z,1.575,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.253Z,1.576,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.264Z,1.587,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.284Z,1.607,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.284Z,1.607,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.295Z,1.618,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.300Z,1.623,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.315Z,1.638,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.323Z,1.646,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.342Z,1.665,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.342Z,1.665,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.353Z,1.676,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.374Z,1.697,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.374Z,1.697,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.385Z,1.708,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.406Z,1.729,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.406Z,1.729,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.416Z,1.739,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.437Z,1.76,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.437Z,1.76,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.448Z,1.771,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.468Z,1.791,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.468Z,1.791,0,0,0,5,0,0,0.0,0.0
